#separator:Tab
#html:true
#tags column:3
#columns:Front	Back	Tags
"<span lang=""ja"" style=""font-size:32px"">包装</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">ほうそう</span><span style=""opacity:.68"">BAO TRANG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">包装</span></b><br>việc gói, bao bì</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">包装する</span></b><br>gói, bao bọc</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 物を紙で包装する：gói vật bằng giấy</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">プレゼントを紙で包装します。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">プレゼントをかみでほうそうします。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi gói quà bằng giấy.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">仕方</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">しかた</span><span style=""opacity:.68"">SĨ PHƯƠNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">仕方</span></b><br>cách làm; cách giải quyết</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nの仕方：cách làm N</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">予約の仕方を教えてください。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">よやくのしかたをおしえてください。</div></details><div style=""font-size:17px;margin-top:4px"">Hãy chỉ tôi cách đặt chỗ.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 仕方がない：không còn cách nào, đành chịu</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">雨なので中止しても仕方がありません。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">あめなのでちゅうししてもしかたがありません。</div></details><div style=""font-size:17px;margin-top:4px"">Vì trời mưa nên đành chấp nhận hủy.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">任せる</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">まかせる</span><span style=""opacity:.68"">NHẬM</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">任せる</span></b><br>giao phó, để ai lo</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 人にNを任せる：giao N cho ai</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">包装は店員に任せました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ほうそうはてんいんにまかせました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi giao việc gói hàng cho nhân viên.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 人に任せる：để ai quyết định/xử lý</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">店の選び方はあなたに任せます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">みせのえらびかたはあなたにまかせます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi để bạn quyết định cách chọn cửa hàng.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">箱</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">はこ</span><span style=""opacity:.68"">TƯƠNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">箱</span></b><br>hộp, thùng</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 箱に入れる：bỏ vào hộp</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">贈り物を箱に入れます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">おくりものをはこにいれます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi bỏ quà vào hộp.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">包装紙</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">ほうそうし</span><span style=""opacity:.68"">BAO TRANG CHỈ</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">包装紙</span></b><br>giấy gói hàng/quà</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 包装紙で包む：gói bằng giấy gói</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">箱を包装紙で包みます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">はこをほうそうしでつつみます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi gói hộp bằng giấy gói quà.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">リボン</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">リボン</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">リボン</span></b><br>ruy băng, dây nơ</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. リボンを結ぶ：thắt nơ</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">箱に赤いリボンを結びます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">はこにあかいリボンをむすびます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi thắt ruy băng đỏ vào hộp.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">かける（リボンをかける）</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">かける（リボンをかける）</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">かける（リボンをかける）</span></b><br>buộc, choàng, gắn (ruy băng lên vật)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 物にリボンをかける：buộc ruy băng vào vật</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">箱にリボンをかけてください。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">はこにリボンをかけてください。</div></details><div style=""font-size:17px;margin-top:4px"">Xin hãy buộc ruy băng vào hộp.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Giữ cách viết kana và ngữ cảnh của giáo trình.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">ラッピング</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">ラッピング</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">ラッピング</span></b><br>việc gói quà</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">ラッピングする</span></b><br>gói quà</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. プレゼントをラッピングする：gói quà</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">店員がプレゼントをラッピングしてくれました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">てんいんがプレゼントをラッピングしてくれました。</div></details><div style=""font-size:17px;margin-top:4px"">Nhân viên đã gói quà giúp tôi.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">グッズ</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">グッズ</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">グッズ</span></b><br>các món đồ, sản phẩm theo chủ đề</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nのグッズ：đồ/sản phẩm về N</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">好きなアニメのグッズを集めています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">すきなアニメのグッズをあつめています。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi sưu tầm đồ liên quan đến anime yêu thích.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
"<span lang=""ja"" style=""font-size:32px"">貴族</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">きぞく</span><span style=""opacity:.68"">QUÝ TỘC</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">貴族</span></b><br>quý tộc</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 貴族の生活：cuộc sống quý tộc</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">昔の貴族の生活を学びます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">むかしのきぞくのせいかつをまなびます。</div></details><div style=""font-size:17px;margin-top:4px"">Chúng tôi học về cuộc sống quý tộc thời xưa.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 8 · trang 15<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_08 Nguon::Trang_15
